Datum,(Sehr) niedrig,Mittel,(Sehr) hoch
2020-03-23,8,11,81
2020-03-31,8,12,79
2020-04-07,9,15,76
2020-04-14,10,16,74
2020-04-21,8,20,73
2020-04-28,9,19,72
2020-05-05,12,25,63
2020-05-12,13,19,68
2020-05-19,17,22,61
2020-05-26,17,23,60
2020-06-09,12,25,63
2020-06-23,18,24,58
2020-07-07,16,24,60
2020-07-21,11,24,65
2020-08-04,13,24,63
2020-08-18,13,23,63
2020-09-01,14,22,64
2020-09-15,14,25,61
2020-09-29,13,24,63
2020-10-13,12,21,67
2020-10-27,8,19,73
2020-11-10,12,19,69
2020-11-24,9,22,69
2020-12-08,11,20,69
2020-12-17,8,18,74
2021-01-05,10,15,76
2021-01-19,10,19,71
2021-02-02,12,19,69
2021-02-16,13,21,65
2021-03-02,12,21,67
2021-03-16,12,20,68
2021-03-30,9,23,68
2021-04-13,11,19,70
2021-04-27,10,25,66
2021-05-11,14,18,67
2021-05-25,13,22,66
2021-06-08,15,23,62
2021-06-22,15,25,60
2021-07-06,16,20,64
2021-07-20,14,24,62
2021-08-03,13,24,63
2021-08-17,14,23,63
2021-08-31,15,27,58
2021-09-15,16,23,62
2021-09-28,18,27,55
2021-10-12,20,27,53
2021-10-26,14,31,56
2021-11-09,11,22,67
2021-11-23,13,24,62
2021-12-07,10,21,69
2021-12-21,8,25,68
